Country,year,emissions
AFG,1990,1875.2637177077395
AFG,1995,1601.2056433713835
AFG,2000,1535.0294649257432
AFG,2005,1423.2866048260857
AFG,2010,1380.2669185877573
AFG,2015,1080.032647372964
AFG,2018,1045.8949131493994
ARE,1990,4431.173757662147
ARE,1995,5160.176558873598
ARE,2000,3738.531665462648
ARE,2005,3288.079883488196
ARE,2010,2678.2084047872568
ARE,2015,2732.322657754935
ARE,2018,2761.0302636393035
BHR,1990,2475.747256825792
BHR,1995,2757.345766224247
BHR,2000,2805.837563538899
BHR,2005,2886.028873692067
BHR,2010,2969.36763727635
BHR,2015,3026.49983854878
BHR,2018,2941.448622087981
DJI,1990,1291.0018644318561
DJI,1995,1580.5957298914159
DJI,2000,1941.132384462372
DJI,2005,2218.6541982104172
DJI,2010,1756.9848814712286
DJI,2015,2018.7834449568095
DJI,2018,1883.1195540173494
EGY,1990,1135.6285118660303
EGY,1995,1294.9893033239787
EGY,2000,1454.3267210974104
EGY,2005,1475.3106681451013
EGY,2010,1746.711279201455
EGY,2015,1756.2465601448923
EGY,2018,1490.5228677816322
IRN,1990,2133.085358746827
IRN,1995,2309.1324159057895
IRN,2000,2288.921244692775
IRN,2005,2417.4630746895214
IRN,2010,2184.90680236854
IRN,2015,2007.807115303622
IRN,2018,2000.0955489506819
IRQ,1990,6034.920923485785
IRQ,1995,2248.2864642589893
IRQ,2000,2561.378335568357
IRQ,2005,2313.694234865067
IRQ,2010,3506.4486933861435
IRQ,2015,3371.4627933782804
IRQ,2018,3250.9539610851916
JOR,1990,2476.813850632828
JOR,1995,2587.6056328180166
JOR,2000,2750.7067585350637
JOR,2005,2810.654368839759
JOR,2010,2861.393221269059
JOR,2015,2902.351343624277
JOR,2018,2990.65189277239
KWT,1990,1445.5339340327762
KWT,1995,2845.630397691108
KWT,2000,2650.790637271586
KWT,2005,3085.914659369858
KWT,2010,2804.3191615665237
KWT,2015,2907.5320909680213
KWT,2018,2870.6271057341182
LBN,1990,2502.1497070468563
LBN,1995,2629.327953656981
LBN,2000,3423.6306859892675
LBN,2005,3401.527968137121
LBN,2010,3443.820929191881
LBN,2015,2689.1644603980308
LBN,2018,2562.581091262893
LBR,1990,2031.4978345118984
LBR,1995,1900.4880615321244
LBR,2000,1959.2987865053487
LBR,2005,1805.5342405579727
LBR,2010,2004.1999133412453
LBR,2015,2181.967636402469
LBR,2018,2128.9263747396462
MAR,1990,1760.592982198282
MAR,1995,1404.8610090774316
MAR,2000,1690.866357519133
MAR,2005,1720.8703275743196
MAR,2010,2155.5426178107273
MAR,2015,2549.945105557934
MAR,2018,2745.46286889619
OMN,1990,1932.9459942228725
OMN,1995,2202.6475187423302
OMN,2000,2376.9985510731576
OMN,2005,2799.6559971285724
OMN,2010,3434.992577275431
OMN,2015,3106.770126058542
OMN,2018,2860.894381923555
PAK,1990,1476.3316413454918
PAK,1995,1637.1589913040318
PAK,2000,1422.803720166734
PAK,2005,1392.7528429508272
PAK,2010,1600.5870664697109
PAK,2015,1552.0031737113668
PAK,2018,1595.6092762764417
PSE,1990,2293.503288232912
PSE,1995,2472.2686719487165
PSE,2000,2554.917195283694
PSE,2005,2646.578384474102
PSE,2010,2828.9473571113863
PSE,2015,2902.775091261895
PSE,2018,2809.8890473938645
QAT,1990,2452.0366889163984
QAT,1995,2717.3515953979377
QAT,2000,2783.8510077392743
QAT,2005,2889.971201044738
QAT,2010,2935.5235026502824
QAT,2015,2980.1566655529127
QAT,2018,2883.921282617084
SAU,1990,2641.3774373595334
SAU,1995,2826.0641321356647
SAU,2000,3098.4771619236185
SAU,2005,3068.8783351691977
SAU,2010,3651.7495002955475
SAU,2015,3657.0120643821806
SAU,2018,3298.742890324528
SDN,1990,1418.2860106693101
SDN,1995,1370.9281095897554
SDN,2000,1406.5902172265612
SDN,2005,1489.3111071315914
SDN,2010,1573.9814300342339
SDN,2015,1548.7357416735604
SDN,2018,1556.2164505538658
SYR,1990,2209.204584969344
SYR,1995,2451.8090164308396
SYR,2000,2521.166443163882
SYR,2005,2623.045646182932
SYR,2010,2697.907911305793
SYR,2015,2788.4908430930777
SYR,2018,2695.012372961675
TUN,1990,1602.5458197498588
TUN,1995,1703.8736961737472
TUN,2000,1825.351756289199
TUN,2005,1842.7211896052056
TUN,2010,1920.930872641536
TUN,2015,1895.3488291644317
TUN,2018,1852.2744838714723
YEM,1990,1176.4049530821183
YEM,1995,947.8741643855448
YEM,2000,1149.6558985595882
YEM,2005,1446.5797982440333
YEM,2010,1423.7143029997387
YEM,2015,1628.7054008448035
YEM,2018,1544.3908859535622
EMR,1990,1974.9805242681737
EMR,1995,1980.285008628276
EMR,2000,2227.7366581272217
EMR,2005,2375.636270629325
EMR,2010,2499.379246847354
EMR,2015,2362.866061165825
EMR,2018,2359.732845003195
AFG,2020,151.54651274483277
ARE,2020,499.0522689359587
BHR,2020,676.2644316553747
DJI,2020,380.44278246500767
EGY,2020,503.09693204128064
IRN,2020,281.7031730233212
IRQ,2020,952.158704876148
JOR,2020,945.522354893172
KWT,2020,447.6709064673804
LBN,2020,403.9763657877468
LBR,2020,428.73080630499766
MAR,2020,457.8947057361872
OMN,2020,758.3157177945069
PAK,2020,480.1989906887415
PSE,2020,674.2580347529558
QAT,2020,635.7306263945944
SAU,2020,615.9466787578004
SDN,2020,291.8895268568912
SYR,2020,639.4096729116493
TUN,2020,659.2506883429553
YEM,2020,367.0894308967575
EMR,2020,499.0522689359587
